2025-07-30 21:14:19.688136 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.830507 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.864564 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.893499 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.925319 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.961243 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:19.987984 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.066724 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.114181 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.156632 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.196249 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.230194 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.333752 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.628051 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.669065 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.691281 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.729166 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.765209 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.799678 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.842345 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.867046 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.892593 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.928916 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.965010 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:20.995971 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:21.024538 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:21.061211 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:21.087379 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:21.113559 - Detected: i, Frame: data\dishant.jpg
2025-07-30 21:14:21.149270 - Detected: i, Frame: data\dishant.jpg
